invoice_id,date,customer_id,product_id,quantity,unit_price,unit_cost,seller_id
RET21SHOP000004,2021-01-13,CL1,10017413,3.0,3.2,2.52,SL18
RET21SHOP000005,2021-01-15,CL1,10016283,50.0,3.6,2.92308,SL4
RET21SHOP000005,2021-01-15,CL1,10009781,50.0,4.6,3.246104,SL4
RET21SHOP000005,2021-01-15,CL1,10015921,50.0,4.4,3.3113379999999997,SL4
RET21SHOP000006,2021-01-15,CL2,10017833,3.0,2.2,1.6899919999999997,SL14
RET21SHOP000009,2021-01-15,CL2,10014361,4.0,23.8,19.464542,SL20
RET21SHOP000076,2021-03-12,CL3,10017869,250.0,6.0,2.6415740000000003,SL3
RET21SHOP000151,2021-05-20,CL4,10009695,1.0,671.0,670.736,SL4
RET21SHOP000158,2021-06-08,CL5,10000571,200.0,0.28,1.213694,SL7
RET21SHOP000160,2021-06-09,CL6,10017421,1.0,7252.608,1.449338,SL12
RET21SHOP000167,2021-06-28,CL7,10000911,125.0,1.4,37.687371999999996,SL16
RET21SHOP000227,2021-06-29,CL8,10000245,3.0,3.0,19.99785,SL6
RET21SHOP000238,2021-08-11,CL9,10001989,30.0,0.96,4.6269279999999995,SL2
RET21SHOP000240,2021-08-19,CL10,10016727,1.0,20.0,4.793142,SL17
RET21SHOP000242,2021-08-19,CL11,10017749,100.0,6.26,5.216608,SL12
RET21SHOP000243,2021-08-19,CL8,1000795,1.0,34.0,1.340632,SL17
RET21SHOP000244,2021-08-19,CL8,10003803,1.0,6.5,17.1039,SL15
RET21SHOP000245,2021-08-19,CL8,10003803,1.0,13.0,17.1039,SL5
RET21SHOP000247,2021-08-19,CL12,10012765,1.0,500.0,10.603422,SL17
RET21SHOP000248,2021-08-19,CL13,10014413,1.0,60.0,194.139228,SL5
RET21SHOP000248,2021-08-19,CL13,10013483,1.0,26.0,16.041948,SL5
RET21SHOP000249,2021-08-19,CL14,10001265,1.0,4.032,4.798508,SL3
RET21SHOP000250,2021-08-19,CL14,10004155,1.0,2.5362720000000003,1.041584,SL2
RET21SHOP000251,2021-08-19,CL15,10001265,1.0,0.8064,4.798508,SL5
RET21SHOP000252,2021-08-19,CL16,10001265,1.0,4.032,4.798508,SL19
RET21SHOP000253,2021-08-19,CL17,10001265,1.0,0.8064,4.798508,SL19
RET21SHOP000254,2021-08-19,CL15,10004155,1.0,1.690848,1.041584,SL4
RET21SHOP000255,2021-08-19,CL15,10001265,1.0,2.4192,4.798508,SL6
RET21SHOP000256,2021-08-19,CL18,10001265,1.0,3.2256,4.798508,SL12
RET21SHOP000257,2021-08-19,CL18,10004155,1.0,1.690848,1.041584,SL5
RET21SHOP000276,2021-09-23,CL13,10014413,1.0,60.0,194.139228,SL20
RET21SHOP000279,2021-09-23,CL13,10012795,1.0,36.0,288.89486800000003,SL18
RET21SHOP000287,2021-09-23,CL16,10001265,1.0,0.8064,4.963982,SL7
RET21SHOP000288,2021-09-23,CL16,10001265,1.0,0.8064,4.963982,SL8
RET21SHOP000299,2021-10-05,CL19,10009723,1.0,120.0,4.825214,SL15
RET21SHOP000299,2021-10-05,CL19,10012853,1.0,30.0,3.9262879999999996,SL15
RET21SHOP000299,2021-10-05,CL19,10001989,1.0,16.0,4.6269279999999995,SL15
RET21SHOP000300,2021-10-05,CL11,10006001,1.0,1.0,3.2745319999999998,SL10
RET21SHOP000301,2021-10-05,CL19,10015921,1.0,45.0,3.71529,SL18
RET21SHOP000301,2021-10-05,CL19,10012765,1.0,36.0,13.032648,SL18
RET21SHOP000310,2021-11-09,CL20,10017377,1.0,17.28,1.288994,SL7
RET21SHOP000312,2021-11-22,CL21,10015839,375.0,3.4,2.557356,SL17
RET21SHOP000313,2021-11-22,CL22,10003123,1.0,4.0,3.064366,SL15
RET21SHOP000313,2021-11-22,CL22,10012767,2.0,2.1,1.471848,SL15
RET21SHOP000314,2021-11-22,CL22,10016727,1.0,7.0,5.341526,SL18
RET21SHOP000315,2021-11-22,CL22,10017749,1.0,6.0,4.578868,SL16
RET21SHOP000001,2021-01-04,CL23,10013041,65.0,2.4,2.10927,SL15
RET21SHOP000001,2021-01-04,CL23,10014831,20.0,3.4,2.825386,SL15
RET21SHOP000002,2021-01-04,CL11,10017831,50.0,2.5,2.4837,SL2
RET21SHOP000004,2021-01-04,CL24,10015921,90.0,4.0,3.33505,SL9
RET21SHOP000005,2021-01-04,CL25,10016727,20.0,4.3,3.636744,SL2
RET21SHOP000009,2021-01-04,CL26,10002713,50.0,1.0,1.7628,SL2
RET21SHOP000010,2021-01-04,CL26,10006029,25.0,1.4,1.134276,SL5
RET21SHOP000011,2021-01-04,CL27,10005903,2.0,60.599998,39.019118,SL5
RET21SHOP000012,2021-01-04,CL28,10017781,2.0,130.0,68.460072,SL14
RET21SHOP000013,2021-01-04,CL29,10002151,20.0,6.8,5.375842,SL17
RET21SHOP000014,2021-01-04,CL30,10002713,40.0,1.0,1.7628,SL8
RET21SHOP000017,2021-01-04,CL11,10015989,75.0,36.999998,33.698886,SL14
RET21SHOP000019,2021-01-04,CL2,10001111,50.0,1.4,1.095292,SL13
RET21SHOP000020,2021-01-04,CL31,10004151,1.0,5.4971,5.122674,SL17
RET21SHOP000022,2021-01-04,CL32,10014831,10.0,3.4,2.825386,SL18
RET21SHOP000023,2021-01-04,CL28,10004151,5.0,7.0,6.216284,SL11
RET21SHOP000023,2021-01-04,CL28,10014831,10.0,3.4,2.825386,SL11
RET21SHOP000024,2021-01-04,CL33,10004151,1.0,7.0,6.221424,SL1
RET21SHOP000024,2021-01-04,CL33,10013041,2.0,2.4,2.10927,SL1
RET21SHOP000025,2021-01-04,CL22,10007705,1.0,18.0,14.922444,SL12
RET21SHOP000025,2021-01-04,CL22,10006041,1.0,2.8,1.466094,SL12
RET21SHOP000025,2021-01-04,CL22,10009621,1.0,2.0,1.0032,SL12
RET21SHOP000025,2021-01-04,CL22,10013483,1.0,25.0,17.035488,SL12
RET21SHOP000025,2021-01-04,CL22,10009681,1.0,2.6,1.834344,SL12
RET21SHOP000025,2021-01-04,CL22,10017569,1.0,10.8,5.894926,SL12
RET21SHOP000025,2021-01-04,CL22,10001251,1.0,7.0,3.4924760000000004,SL12
RET21SHOP000025,2021-01-04,CL22,10003199,1.0,4.0,1.8202040000000002,SL12
RET21SHOP000025,2021-01-04,CL22,10017405,1.0,4.0,2.5833939999999997,SL12
RET21SHOP000025,2021-01-04,CL22,10013687,1.0,25.0,17.011308,SL12
RET21SHOP000025,2021-01-04,CL22,10015163,1.0,30.0,25.440054,SL12
RET21SHOP000025,2021-01-04,CL22,1000710,1.0,3.6,2.701356,SL12
RET21SHOP000026,2021-01-04,CL28,10014831,10.0,3.4,2.825386,SL20
RET21SHOP000027,2021-01-15,CL34,10017749,3.0,5.5,4.578868,SL9
RET21SHOP000028,2021-01-15,CL34,10015921,4.0,4.1,3.33505,SL13
RET21SHOP000031,2021-01-15,CL35,10012765,6.0,8.8,8.213818,SL13
RET21SHOP000032,2021-01-15,CL22,10009781,5.0,4.6,3.246104,SL10
RET21SHOP000033,2021-01-15,CL1,10016283,50.0,3.6,2.92308,SL19
RET21SHOP000033,2021-01-15,CL1,10009781,50.0,4.6,3.246104,SL19
RET21SHOP000033,2021-01-15,CL1,10015921,48.0,4.4,3.3113379999999997,SL19
RET21SHOP000034,2021-01-15,CL36,10013541,100.0,2.1,1.663488,SL20
RET21SHOP000034,2021-01-15,CL36,10002833,50.0,4.32,4.789814,SL20
RET21SHOP000037,2021-01-15,CL37,10005915,1.0,4.1003099999999995,3.799082,SL20
RET21SHOP000039,2021-01-20,CL38,10002707,100.0,24.599998,23.799848,SL11
RET21SHOP000039,2021-01-20,CL38,10012433,4.0,32.0,31.7304,SL11
RET21SHOP000042,2021-01-22,CL22,10003199,5.0,4.1998,2.4767080000000004,SL4
RET21SHOP000042,2021-01-22,CL22,10012699,5.0,3.6,1.6986560000000002,SL4
RET21SHOP000042,2021-01-22,CL22,10009681,5.0,2.40006,1.8393419999999998,SL4
RET21SHOP000042,2021-01-22,CL22,10017569,5.0,10.4004,6.87524,SL4
RET21SHOP000042,2021-01-22,CL22,10013483,5.0,22.0008,16.023077999999998,SL4
RET21SHOP000042,2021-01-22,CL22,10012851,5.0,24.48,11.7142,SL4
RET21SHOP000042,2021-01-22,CL22,10016755,2.0,90.002,65.578028,SL4
RET21SHOP000042,2021-01-22,CL22,10014413,1.0,459.984,194.02396000000002,SL4
RET21SHOP000042,2021-01-22,CL22,10001251,2.0,6.6003,3.4924760000000004,SL4
RET21SHOP000043,2021-01-22,CL39,10015159,25.0,2.272,1.920596,SL20
RET21SHOP000050,2021-01-22,CL40,10013655,400.0,1.504,1.103926,SL2
RET21SHOP000051,2021-01-22,CL2,10012821,1.0,7.0,3.487954,SL4
RET21SHOP000055,2021-01-27,CL34,10006073,100.0,48.0,42.06708,SL16
RET21SHOP000055,2021-01-27,CL34,10009723,450.0,5.40008,4.72317,SL16
RET21SHOP000055,2021-01-27,CL34,10015921,400.0,4.1998,3.33505,SL16
RET21SHOP000055,2021-01-27,CL34,10012765,23.0,10.40022,8.480832000000001,SL16
